n,trial,expected_moves,rec_moves,rec_time_us,it_moves,it_time_us
8,11,255,255,0,255,47
8,12,255,255,0,255,47
8,13,255,255,0,255,48
8,14,255,255,0,255,47
8,15,255,255,0,255,48
8,16,255,255,0,255,48
8,17,255,255,0,255,47
8,18,255,255,0,255,47
8,19,255,255,0,255,47
8,20,255,255,0,255,48
8,21,255,255,0,255,48
8,22,255,255,0,255,50
8,23,255,255,0,255,48
8,24,255,255,0,255,48
8,25,255,255,0,255,48
8,26,255,255,0,255,48
8,27,255,255,0,255,47
8,28,255,255,0,255,48
8,29,255,255,0,255,48
8,30,255,255,0,255,48
9,1,511,511,2,511,98
9,2,511,511,1,511,96
9,3,511,511,1,511,134
9,4,511,511,1,511,96
9,5,511,511,1,511,95
9,6,511,511,1,511,96
9,7,511,511,1,511,96
9,8,511,511,1,511,95
9,9,511,511,1,511,95
9,10,511,511,1,511,95
9,11,511,511,1,511,95
9,12,511,511,1,511,96
9,13,511,511,1,511,95
9,14,511,511,1,511,97
9,15,511,511,1,511,96
9,16,511,511,1,511,95
9,17,511,511,1,511,95
9,18,511,511,1,511,95
9,19,511,511,1,511,96
9,20,511,511,1,511,95
9,21,511,511,1,511,95
9,22,511,511,1,511,96
9,23,511,511,1,511,95
9,24,511,511,1,511,95
9,25,511,511,1,511,95
9,26,511,511,1,511,96
9,27,511,511,1,511,95
9,28,511,511,1,511,101
9,29,511,511,1,511,96
9,30,511,511,1,511,96
10,1,1023,1023,3,1023,197
10,2,1023,1023,5,1023,222
10,3,1023,1023,5,1023,233
